climate.station,lat,long,crop,avg.sowing.doy,X..values.sowing,avg.harvest.doy,X..values.harvest,earliest.sowing.doy,latest.sowing.doy,earliest.harvest.doy,latest.harvest.doy
8553,52.3,10.4,CLALF,90,10,233,10,67,105,220,240
662,52.2915,10.4464,CLALF,90,10,233,10,67,105,220,240
8003,51.4667,10.05,CLALF,90,11,233,11,67,107,222,256
7977,51.5167,9.95,CLALF,90,11,233,11,67,107,222,256
1691,51.5002,9.9507,CLALF,90,11,233,11,67,107,222,256
7976,51.5333,9.95,CLALF,90,11,233,11,67,107,222,256
11533,50.2667,11.85,CLALF,90,5,233,5,91,112,224,263
2261,50.3122,11.8761,CLALF,90,5,233,5,91,112,224,263
7581,54.5667,9.3167,CLALF,90,10,233,11,80,113,216,248
7736,54.55,9.4,CLALF,90,10,233,11,80,113,216,248
7741,54.5167,9.3833,CLALF,90,10,233,11,80,113,216,248
7738,54.55,9.5167,CLALF,90,10,233,11,80,113,216,248
7618,54.4,9.25,CLALF,90,10,233,11,80,113,216,248
7743,54.35,9.2167,CLALF,90,10,233,11,80,113,216,248
7732,54.5,9.6,CLALF,90,10,233,11,80,113,216,248
7557,54.6167,9.3667,CLALF,90,10,233,11,80,113,216,248
7625,54.4,9.1833,CLALF,90,10,233,11,80,113,216,248
7734,54.45,9.3333,CLALF,90,10,233,11,80,113,216,248
7744,54.6333,9.6,CLALF,90,10,233,11,80,113,216,248
7729,54.4167,9.4,CLALF,90,10,233,11,80,113,216,248
7727,54.55,9.5667,CLALF,90,10,233,11,80,113,216,248
7620,54.4167,9.25,CLALF,90,10,233,11,80,113,216,248
4466,54.5275,9.5487,CLALF,90,10,233,11,80,113,216,248
7728,54.6,9.5667,CLALF,90,10,233,11,80,113,216,248
7735,54.5833,9.5167,CLALF,90,10,233,11,80,113,216,248
15077,48.65,9.7167,CLALF,90,11,233,11,70,109,228,255
10379,48.6167,9.85,CLALF,90,11,233,11,70,109,228,255
10492,48.55,9.8,CLALF,90,11,233,11,70,109,228,255
10494,48.5833,9.8167,CLALF,90,11,233,11,70,109,228,255
4887,48.6657,9.8646,CLALF,90,11,233,11,70,109,228,255
10354,48.65,9.1333,CLALF,90,8,233,8,40,98,220,236
10317,48.7167,9.1,CLALF,90,8,233,8,40,98,220,236
10316,48.7333,9.15,CLALF,90,8,233,8,40,98,220,236
10464,48.65,9.3,CLALF,90,8,233,8,40,98,220,236
4933,48.7091,9.2147,CLALF,90,8,233,8,40,98,220,236
10321,48.75,9.1667,CLALF,90,8,233,8,40,98,220,236
10047,49.75,6.6667,CLALF,90,11,233,11,76,107,210,233
10049,49.7667,6.6167,CLALF,90,11,233,11,76,107,210,233
10050,49.7333,6.65,CLALF,90,11,233,11,76,107,210,233
10110,49.6167,6.4333,CLALF,90,11,233,11,76,107,210,233
15990,49.6429,6.4826,CLALF,90,11,233,11,76,107,210,233
10112,49.7,6.4667,CLALF,90,11,233,11,76,107,210,233
10126,49.7333,6.5167,CLALF,90,11,233,11,76,107,210,233
5100,49.7479,6.6582,CLALF,90,11,233,11,76,107,210,233
12074,49.5333,6.3833,CLALF,90,11,233,11,76,107,210,233
10128,49.8,6.5167,CLALF,90,11,233,11,76,107,210,233
10109,49.5833,6.3833,CLALF,90,11,233,11,76,107,210,233
10108,49.7,6.5833,CLALF,90,11,233,11,76,107,210,233
10107,49.6833,6.55,CLALF,90,11,233,11,76,107,210,233
5404,48.4025,11.6946,CLALF,90,11,233,10,68,98,214,254
11016,48.4333,11.6667,CLALF,90,11,233,10,68,98,214,254
11738,49.8,9.9333,CLALF,90,11,233,11,65,96,214,240
11909,49.7667,9.9833,CLALF,90,11,233,11,65,96,214,240
11914,49.8167,9.9833,CLALF,90,11,233,11,65,96,214,240
5705,49.7703,9.9577,CLALF,90,11,233,11,65,96,214,240
11912,49.7833,9.8667,CLALF,90,11,233,11,65,96,214,240
15972,49.7875,9.9243,CLALF,90,11,233,11,65,96,214,240
11739,49.8,9.9333,CLALF,90,11,233,11,65,96,214,240
7511,54.4333,10.1167,CLALF,90,3,233,3,86,94,240,250
7687,54.4,10.2167,CLALF,90,3,233,3,86,94,240,250
7529,54.4833,10.1167,CLALF,90,3,233,3,86,94,240,250
7502,54.4,10.15,CLALF,90,3,233,3,86,94,240,250
7512,54.4333,10.1,CLALF,90,3,233,3,86,94,240,250
7521,54.4333,9.8167,CLALF,90,8,233,9,69,109,217,262
7517,54.4833,9.7,CLALF,90,8,233,9,69,109,217,262
7527,54.4,9.6,CLALF,90,8,233,9,69,109,217,262
7737,54.4167,9.5167,CLALF,90,8,233,9,69,109,217,262
7528,54.55,9.8167,CLALF,90,8,233,9,69,109,217,262
7509,54.4333,9.7,CLALF,90,8,233,9,69,109,217,262
7514,54.4667,9.8333,CLALF,90,8,233,9,69,109,217,262
7515,54.4833,9.7,CLALF,90,8,233,9,69,109,217,262
7516,54.4,9.9667,CLALF,90,10,233,10,77,112,224,245
7518,54.4,9.85,CLALF,90,10,233,10,77,112,224,245
7702,54.35,9.85,CLALF,90,10,233,10,77,112,224,245
7522,54.3667,10.0333,CLALF,90,10,233,10,77,112,224,245
7701,54.3333,9.8333,CLALF,90,10,233,10,77,112,224,245
7520,54.4,9.9333,CLALF,90,10,233,10,77,112,224,245
7699,54.3167,9.95,CLALF,90,10,233,10,77,112,224,245
7519,54.4167,9.8833,CLALF,90,10,233,10,77,112,224,245
7524,54.4333,10.0167,CLALF,90,3,233,3,74,96,217,252
7526,54.4333,10.05,CLALF,90,3,233,3,74,96,217,252
7525,54.4333,9.9833,CLALF,90,3,233,3,74,96,217,252
7551,54.0833,10.6333,CLALF,90,9,233,11,79,119,200,255
7760,53.9333,10.5167,CLALF,90,9,233,11,79,119,200,255
7542,54,10.6667,CLALF,90,9,233,11,79,119,200,255
7536,54.0167,10.5667,CLALF,90,9,233,11,79,119,200,255
7537,54,10.4833,CLALF,90,9,233,11,79,119,200,255
7541,54.0333,10.6667,CLALF,90,9,233,11,79,119,200,255
7698,54.3333,10.6,CLALF,90,11,233,11,79,116,219,254
7543,54.2167,10.6167,CLALF,90,11,233,11,79,116,219,254
12129,54.1667,10.5667,CLALF,90,11,233,11,79,116,219,254
7688,54.2833,10.4667,CLALF,90,11,233,11,79,116,219,254
7540,54.1333,10.6167,CLALF,90,11,233,11,79,116,219,254
7544,54.1833,10.55,CLALF,90,11,233,11,79,116,219,254
7689,54.3,10.5833,CLALF,90,11,233,11,79,116,219,254
7673,54.15,10.3333,CLALF,90,11,233,11,79,116,219,254
7678,54.2333,10.5333,CLALF,90,11,233,11,79,116,219,254
7685,54.2167,10.6667,CLALF,90,11,233,11,79,116,219,254
7694,54.2333,10.5167,CLALF,90,11,233,11,79,116,219,254
7676,54.1167,10.4833,CLALF,90,11,233,11,79,116,219,254
7545,54.2167,10.55,CLALF,90,11,233,11,79,116,219,254
7549,54.1167,10.6667,CLALF,90,11,233,11,79,116,219,254
7682,54.3167,10.5,CLALF,90,11,233,11,79,116,219,254
7690,54.1667,10.4167,CLALF,90,11,233,11,79,116,219,254
7550,54.15,10.6833,CLALF,90,11,233,11,79,116,219,254
7553,53.9833,10.85,CLALF,90,5,233,7,78,116,202,254
12567,53.9,12.3833,CLALF,90,5,233,7,78,116,202,254
15107,53.9667,11.55,CLALF,90,5,233,7,78,116,202,254
12502,53.9,11.4667,CLALF,90,5,233,7,78,116,202,254
13906,53.7833,11.5667,CLALF,90,5,233,7,78,116,202,254
15534,53.7662,11.7508,CLALF,90,5,233,7,78,116,202,254
12529,53.9167,12.15,CLALF,90,5,233,7,78,116,202,254
12503,53.9,11.45,CLALF,90,5,233,7,78,116,202,254
12731,53.9333,11.3833,CLALF,90,5,233,7,78,116,202,254
12679,53.75,11.65,CLALF,90,5,233,7,78,116,202,254
12552,53.9,10.9833,CLALF,90,5,233,7,78,116,202,254
7547,53.9,10.65,CLALF,90,5,233,7,78,116,202,254
12531,53.85,11.95,CLALF,90,5,233,7,78,116,202,254
15902,53.8311,10.7662,CLALF,90,5,233,7,78,116,202,254
13966,53.8167,11.4667,CLALF,90,5,233,7,78,116,202,254
7539,53.95,10.6833,CLALF,90,5,233,7,78,116,202,254
12530,53.9333,12.1,CLALF,90,5,233,7,78,116,202,254
12528,53.8167,11.9333,CLALF,90,5,233,7,78,116,202,254
7538,53.9167,10.7,CLALF,90,5,233,7,78,116,202,254
13951,53.7667,11.25,CLALF,90,5,233,7,78,116,202,254
13955,53.8333,11.1833,CLALF,90,5,233,7,78,116,202,254
12527,53.8833,11.8333,CLALF,90,5,233,7,78,116,202,254
7506,53.8833,10.6667,CLALF,90,5,233,7,78,116,202,254
12682,53.8,11.7167,CLALF,90,5,233,7,78,116,202,254
7548,53.9333,10.6667,CLALF,90,5,233,7,78,116,202,254
7546,53.95,10.7333,CLALF,90,5,233,7,78,116,202,254
12554,54,11.0167,CLALF,90,5,233,7,78,116,202,254
7656,54.0833,10.7833,CLALF,90,5,233,7,78,116,202,254
12563,53.8167,12.0667,CLALF,90,5,233,7,78,116,202,254
7507,53.85,10.7,CLALF,90,5,233,7,78,116,202,254
12727,53.8667,11.3333,CLALF,90,5,233,7,78,116,202,254
12728,53.9,11.35,CLALF,90,5,233,7,78,116,202,254
7595,53.8,10.75,CLALF,90,5,233,7,78,116,202,254
12532,53.85,11.9333,CLALF,90,5,233,7,78,116,202,254
7552,53.9833,10.8,CLALF,90,5,233,7,78,116,202,254
12555,53.85,10.9333,CLALF,90,5,233,7,78,116,202,254
12524,53.7667,11.9833,CLALF,90,5,233,7,78,116,202,254
12526,53.85,11.8,CLALF,90,5,233,7,78,116,202,254
7505,53.9,10.8,CLALF,90,5,233,7,78,116,202,254
12729,53.7833,11.5167,CLALF,90,5,233,7,78,116,202,254
12553,53.8667,11.1833,CLALF,90,5,233,7,78,116,202,254
12730,54,11.4833,CLALF,90,5,233,7,78,116,202,254
596,54.0028,11.1908,CLALF,90,5,233,7,78,116,202,254
12726,53.8833,11.3333,CLALF,90,5,233,7,78,116,202,254
7577,54.8,9.7333,CLALF,90,3,233,4,93,111,235,249
7742,54.6333,9.7833,CLALF,90,3,233,4,93,111,235,249
7559,54.75,9.9,CLALF,90,3,233,4,93,111,235,249
7513,54.6167,9.9833,CLALF,90,3,233,4,93,111,235,249
7523,54.6667,10,CLALF,90,3,233,4,93,111,235,249
