climate.station,lat,long,crop,avg.sowing.doy,X..values.sowing,avg.harvest.doy,X..values.harvest,earliest.sowing.doy,latest.sowing.doy,earliest.harvest.doy,latest.harvest.doy,climate.station2
7786,53.7333,10.2667,WW,249,16,218,NA,256,282,212,228,7786
7795,53.8333,10.4833,WW,256,10,228,NA,258,288,207,252,7795
7798,53.8667,10.3333,WW,253,16,217,NA,255,273,204,230,7798
7799,53.6167,10.4167,WW,252,13,221,NA,260,293,211,235,7799
7803,53.9,9.1,WW,248,16,221,NA,255,293,206,237,7803
7807,54.15,9.0667,WW,258,15,221,NA,252,283,201,241,7807
7812,53.9833,9.1167,WW,284,16,217,NA,246,279,210,229,7812
7815,53.9667,9.0833,WW,276,16,218,NA,250,288,201,235,7815
7824,54.7333,8.4333,WW,274,12,218,NA,239,269,206,249,7824
7844,53.6,10.1833,WW,279,12,216,NA,181,268,181,237,7844
7857,52.6,8.8333,WW,262,13,218,NA,267,293,208,231,7857
7862,52.8,8.8333,WW,286,9,216,NA,277,309,200,242,7862
7865,52.5667,8.5667,WW,280,11,214,NA,270,295,198,224,7865
7868,52.7833,9.1333,WW,281,11,213,NA,262,285,200,228,7868
7872,52.9,8.5833,WW,262,10,219,NA,281,301,207,227,7872
7877,52.8667,8.5,WW,295,4,212,NA,282,289,208,215,7877
7881,52.85,9.1833,WW,283,16,213,NA,273,285,200,228,7881
7883,52.1667,9.25,WW,284,7,217,NA,263,275,209,230,7883
7890,52.2,9.2,WW,288,13,219,NA,274,293,206,231,7890
7897,52.0667,9.2667,WW,273,14,211,NA,275,302,200,219,7897
7910,52.3,9.5,WW,268,16,224,NA,273,292,210,244,7910
7914,52.4,9.6333,WW,278,5,211,NA,270,278,201,222,7914
7920,52.5333,9.4667,WW,270,8,215,NA,263,293,206,225,7920
7922,52.3833,9.35,WW,279,13,218,NA,283,299,206,232,7922
7923,52.4,9.45,WW,268,16,209,NA,265,294,201,227,7923
7936,52.5667,9.1333,WW,269,16,215,NA,268,290,199,230,7936
7943,52.5,8.9833,WW,272,10,215,NA,274,296,206,227,7943
7946,52.7167,9.25,WW,277,16,213,NA,265,287,200,228,7946
7951,52.4,9.1167,WW,265,10,217,NA,269,291,201,230,7951
7956,52.45,9.4,WW,279,15,219,NA,279,293,204,235,7956
7957,52.2333,9.1167,WW,283,15,217,NA,268,303,203,233,7957
7963,52.2167,9.4,WW,276,10,217,NA,259,280,207,230,7963
7965,52.1667,9.4333,WW,277,16,218,NA,255,284,200,236,7965
7977,51.5167,9.95,WW,276,10,220,NA,263,286,208,240,7977
7982,52.0667,9.7167,WW,278,15,213,NA,270,297,197,227,7982
7990,51.5333,10.1833,WW,272,14,213,NA,259,288,197,231,7990
7991,51.6167,10.2167,WW,269,16,217,NA,266,298,203,228,7991
7998,51.8,9.7,WW,274,16,213,NA,256,276,200,226,7998
8007,51.55,10.0667,WW,269,16,216,NA,255,289,200,237,8007
8008,52.0167,10.1333,WW,279,3,218,NA,268,278,214,226,8008
8025,51.9333,9.65,WW,271,11,224,NA,258,297,202,244,8025
8027,51.95,9.7333,WW,279,11,221,NA,271,295,213,236,8027
8028,51.85,9.6333,WW,275,16,222,NA,258,279,212,237,8028
8039,51.5167,9.7,WW,275,9,220,NA,267,290,213,227,8039
8058,51.8,10.0333,WW,266,7,230,NA,270,298,222,237,8058
8063,51.6,10.55,WW,263,7,222,NA,267,287,214,231,8063
8064,51.8167,10.0667,WW,281,16,213,NA,262,276,198,226,8064
8091,52.55,9.7667,WW,269,9,213,NA,284,305,204,223,8091
8093,52.4,10.0667,WW,275,16,213,NA,258,306,199,229,8093
8101,52.8167,9.9667,WW,266,16,217,NA,278,301,208,230,8101
8128,52.7667,9.4667,WW,281,4,220,NA,285,295,211,226,8128
8129,52.8333,9.6333,WW,292,5,217,NA,279,298,200,228,8129
8133,52.9333,9.7333,WW,273,13,221,NA,276,305,213,236,8133
8135,52.95,9.5333,WW,273,7,217,NA,273,297,206,231,8135
8151,52.5333,10.35,WW,277,16,214,NA,252,283,201,237,8151
8166,53.3333,9.8833,WW,287,16,223,NA,268,294,215,234,8166
8172,53.3667,9.9833,WW,289,15,220,NA,264,284,212,232,8172
8174,53.3667,10.3,WW,280,10,215,NA,253,283,205,230,8174
8175,53.45,9.7333,WW,272,16,221,NA,267,298,205,237,8175
8212,53.0333,11.5333,WW,264,8,216,NA,282,286,213,222,8212
8227,53.1167,11.2,WW,269,8,219,NA,263,283,212,232,8227
8228,53,11.1513,WW,264,15,218,NA,271,298,204,233,8228
8243,53.15,10.85,WW,275,6,219,NA,292,298,211,230,8243
8255,53.1,10.0667,WW,278,16,233,NA,273,311,210,251,8255
8256,52.9333,10.15,WW,268,4,224,NA,284,292,214,233,8256
8260,53.0333,9.8333,WW,275,16,217,NA,271,292,201,235,8260
8261,53.1333,10.6,WW,280,16,214,NA,267,283,200,228,8261
8266,52.9667,10.4667,WW,270,8,224,NA,268,296,204,236,8266
8284,52.9833,10.7833,WW,273,6,221,NA,268,281,216,228,8284
8285,52.9667,10.5667,WW,259,16,219,NA,263,296,200,233,8285
8294,53.25,9.3833,WW,260,16,216,NA,273,291,200,238,8294
8300,53.3833,9.2167,WW,267,12,217,NA,277,285,206,232,8300
8301,53.45,9.1167,WW,261,16,222,NA,259,301,196,240,8301
8304,53.8167,8.7667,WW,277,16,220,NA,255,303,202,235,8304
