climate.station,lat,long,crop,avg.sowing.doy,X..values.sowing,avg.harvest.doy,X..values.harvest,earliest.sowing.doy,latest.sowing.doy,earliest.harvest.doy,latest.harvest.doy
13207,52.7667,11.5667,WR,281,16,209,16,259,281,196,223
140,52.6861,11.4272,WR,281,16,209,16,259,281,196,223
13090,52.6667,11.3833,WR,281,16,209,16,259,281,196,223
13087,52.6,11.5333,WR,281,16,209,16,259,281,196,223
13251,52.75,11.4667,WR,281,16,209,16,259,281,196,223
8237,53.35,10.6667,WR,284,16,215,16,248,284,201,236
8235,53.3667,10.4833,WR,284,16,215,16,248,284,201,236
12576,53.3833,10.7167,WR,284,16,215,16,248,284,201,236
8236,53.3,10.75,WR,284,16,215,16,248,284,201,236
591,53.3911,10.6878,WR,284,16,215,16,248,284,201,236
12593,53.3667,10.85,WR,284,16,215,16,248,284,201,236
12575,53.3833,10.7333,WR,284,16,215,16,248,284,201,236
12592,53.35,10.8,WR,284,16,215,16,248,284,201,236
7600,53.3667,10.5667,WR,284,16,215,16,248,284,201,236
8159,52.35,10.45,WR,283,16,215,16,264,283,205,230
13921,52.3833,10.4167,WR,283,16,215,16,264,283,205,230
15461,52.1499,10.4073,WR,283,16,215,16,264,283,205,230
8575,52.0833,10.4833,WR,283,16,215,16,264,283,205,230
8553,52.3,10.4,WR,283,16,215,16,264,283,205,230
8614,52.1667,10.55,WR,283,16,215,16,264,283,205,230
8604,52.2,10.3333,WR,283,16,215,16,264,283,205,230
662,52.2915,10.4464,WR,283,16,215,16,264,283,205,230
8608,52.1667,10.5167,WR,283,16,215,16,264,283,205,230
8559,52.2167,10.3667,WR,283,16,215,16,264,283,205,230
8602,52.15,10.4667,WR,283,16,215,16,264,283,205,230
9115,51.5167,8.7,WR,281,16,231,16,253,281,214,252
9248,51.2,8.5333,WR,281,16,231,16,253,281,214,252
717,51.3873,8.5737,WR,281,16,231,16,253,281,214,252
9249,51.3333,8.55,WR,281,16,231,16,253,281,214,252
9259,51.2667,8.5167,WR,281,16,231,16,253,281,214,252
9250,51.3667,8.5,WR,281,16,231,16,253,281,214,252
9260,51.45,8.6167,WR,281,16,231,16,253,281,214,252
15940,51.2319,8.5596,WR,281,16,231,16,253,281,214,252
9252,51.3167,8.5,WR,281,16,231,16,253,281,214,252
12228,51.8167,14.05,WR,267,16,199,16,254,267,179,211
12229,51.8333,14.15,WR,267,16,199,16,254,267,179,211
12234,51.8833,14.4167,WR,267,16,199,16,254,267,179,211
12233,51.8667,14.4167,WR,267,16,199,16,254,267,179,211
12230,51.6667,14.2167,WR,267,16,199,16,254,267,179,211
12332,51.9,14.2,WR,267,16,199,16,254,267,179,211
12232,51.75,14.15,WR,267,16,199,16,254,267,179,211
12231,51.7167,14.4167,WR,267,16,199,16,254,267,179,211
12227,51.8167,14.1,WR,267,16,199,16,254,267,179,211
15957,51.0613,13.8584,WR,270,6,208,5,241,270,202,217
12840,51.1167,13.6833,WR,270,6,208,5,241,270,202,217
12842,51.0833,13.7,WR,270,6,208,5,241,270,202,217
12756,51.05,13.8,WR,270,6,208,5,241,270,202,217
12837,51.1333,13.8833,WR,270,6,208,5,241,270,202,217
12749,51.0167,13.7667,WR,270,6,208,5,241,270,202,217
12754,51.0167,13.8667,WR,270,6,208,5,241,270,202,217
12839,51.1167,13.9,WR,270,6,208,5,241,270,202,217
12750,51.0167,13.8167,WR,270,6,208,5,241,270,202,217
1048,51.128,13.7543,WR,270,6,208,5,241,270,202,217
12753,51.1167,13.7833,WR,270,6,208,5,241,270,202,217
12751,51.0667,13.7833,WR,270,6,208,5,241,270,202,217
12836,51.1167,13.7167,WR,270,6,208,5,241,270,202,217
12752,51.0667,13.7,WR,270,6,208,5,241,270,202,217
13290,52.0833,11.3667,WR,273,13,214,14,257,273,202,236
1133,52.1014,11.2322,WR,273,13,214,14,257,273,202,236
13200,52.0167,11.2167,WR,273,13,214,14,257,273,202,236
13293,52.1333,11.2,WR,273,13,214,14,257,273,202,236
12853,50.85,13.1833,WR,286,16,214,16,246,286,198,228
12858,50.8667,13.3333,WR,286,16,214,16,246,286,198,228
1412,50.8969,13.2205,WR,286,16,214,16,246,286,198,228
12849,50.7667,13.15,WR,286,16,214,16,246,286,198,228
12852,50.85,13.1667,WR,286,16,214,16,246,286,198,228
12855,50.9333,13.3333,WR,286,16,214,16,246,286,198,228
12856,50.9667,13.3,WR,286,16,214,16,246,286,198,228
12854,50.9,13.35,WR,286,16,214,16,246,286,198,228
12896,50.9667,13.1333,WR,286,16,214,16,246,286,198,228
12542,53.65,11.1833,WR,275,4,227,4,244,275,211,239
1532,53.6865,11.0608,WR,275,4,227,4,244,275,211,239
13955,53.8333,11.1833,WR,275,4,227,4,244,275,211,239
7597,53.6667,10.9167,WR,275,4,227,4,244,275,211,239
12553,53.8667,11.1833,WR,275,4,227,4,244,275,211,239
12539,53.7667,11.0333,WR,275,4,227,4,244,275,211,239
12585,53.5833,10.9667,WR,275,4,227,4,244,275,211,239
12555,53.85,10.9333,WR,275,4,227,4,244,275,211,239
15088,53.6,11.1167,WR,275,4,227,4,244,275,211,239
12541,53.65,11.0667,WR,275,4,227,4,244,275,211,239
12540,53.7,11.1333,WR,275,4,227,4,244,275,211,239
12552,53.9,10.9833,WR,275,4,227,4,244,275,211,239
13951,53.7667,11.25,WR,275,4,227,4,244,275,211,239
12543,53.7167,10.85,WR,275,4,227,4,244,275,211,239
1544,52.5129,11.3941,WR,268,5,203,5,252,268,198,208
13088,52.5167,11.2333,WR,268,5,203,5,252,268,198,208
13281,52.5333,11.6,WR,268,5,203,5,252,268,198,208
13086,52.4667,11.3167,WR,268,5,203,5,252,268,198,208
13408,50.85,11.9667,WR,258,9,207,10,242,258,183,217
13406,50.8,12.2333,WR,258,9,207,10,242,258,183,217
2034,50.9574,11.9757,WR,258,9,207,10,242,258,183,217
13649,50.7,11.9833,WR,258,9,207,10,242,258,183,217
1612,50.8813,12.1289,WR,258,9,207,10,242,258,183,217
13339,50.8833,12.0833,WR,258,9,207,10,242,258,183,217
14133,50.85,11.95,WR,258,9,207,10,242,258,183,217
13340,50.9167,12.0667,WR,258,9,207,10,242,258,183,217
13341,50.8333,12.1,WR,258,9,207,10,242,258,183,217
13407,50.9333,12.0167,WR,258,9,207,10,242,258,183,217
14134,50.7667,12.0667,WR,258,9,207,10,242,258,183,217
13409,50.7833,12.0667,WR,258,9,207,10,242,258,183,217
15968,50.9034,12.2015,WR,258,9,207,10,242,258,183,217
12882,51.1333,14.8,WR,271,4,213,5,262,271,205,221
1684,51.1622,14.9506,WR,271,4,213,5,262,271,205,221
12758,51.1333,14.95,WR,271,4,213,5,262,271,205,221
12486,54.1,13.3833,WR,290,16,227,15,257,290,207,248
12544,54.05,13.3,WR,290,16,227,15,257,290,207,248
12487,54.1,13.45,WR,290,16,227,15,257,290,207,248
12546,54.1333,13.6167,WR,290,16,227,15,257,290,207,248
12550,54.1167,13.6167,WR,290,16,227,15,257,290,207,248
12669,54.3667,13.3,WR,290,16,227,15,257,290,207,248
1757,54.0967,13.4056,WR,290,16,227,15,257,290,207,248
12548,54.1667,13.3333,WR,290,16,227,15,257,290,207,248
9068,52.1333,7.7333,WR,293,9,213,9,275,293,201,222
1766,52.1344,7.6969,WR,293,9,213,9,275,293,201,222
15568,52.0358,7.7673,WR,293,9,213,9,275,293,201,222
13395,50.95,11.7667,WR,277,14,218,15,257,277,207,230
13562,50.6667,11.3667,WR,277,14,218,15,257,277,207,230
