climate.station,lat,long,crop,avg.sowing.doy,X..values.sowing,avg.harvest.doy,X..values.harvest,earliest.sowing.doy,latest.sowing.doy,earliest.harvest.doy,latest.harvest.doy
140,52.6861,11.4272,SM,112,9,249,9,107,127,249,271
183,54.6792,13.4343,SM,115,9,253,8,110,120,253,291
591,53.3911,10.6878,SM,115,14,242,15,100,123,242,288
596,54.0028,11.1908,SM,109,5,262,5,106,116,262,284
640,50.8685,12.7237,SM,116,14,237,14,102,128,237,294
662,52.2914,10.4465,SM,116,15,237,15,110,126,237,284
717,51.3873,8.5737,SM,117,16,256,15,105,131,256,298
821,49.1443,10.5024,SM,121,6,220,6,111,128,22,266
822,51.2066,14.2371,SM,114,9,230,9,110,122,230,274
853,50.7913,12.872,SM,121,7,245,7,105,137,245,287
880,51.776,14.3168,SM,113,5,256,5,110,116,256,279
882,50.7813,10.786,SM,120,3,272,3,111,126,272,285
891,53.8713,8.7058,SM,120,5,261,5,118,122,261,285
1133,52.1014,11.2322,SM,113,7,250,7,106,119,250,291
1412,50.8969,13.2205,SM,117,14,240,14,108,129,240,299
1532,53.6865,11.0608,SM,117,13,236,13,110,128,236,284
1544,52.5129,11.3941,SM,116,4,253,5,109,122,253,263
1612,50.8813,12.1289,SM,110,3,261,3,105,115,261,275
1684,51.1622,14.9506,SM,118,5,247,5,112,131,247,283
1766,52.1344,7.6969,SM,112,8,257,8,105,122,257,301
1780,50.4316,11.9443,SM,118,9,257,8,99,134,257,286
1820,50.85,11.6667,SM,114,15,254,15,104,125,254,279
1957,51.5138,11.9499,SM,111,6,238,9,107,115,238,267
2163,51.5448,10.8748,SM,116,13,233,13,110,126,233,287
2468,50.9352,12.6206,SM,117,8,246,8,110,126,246,283
2625,52.739,12.4984,SM,111,6,248,6,107,115,248,263
2895,49.3442,11.5664,SM,116,6,267,6,110,122,267,286
2995,52.8719,13.3927,SM,110,11,232,11,105,118,232,270
3015,52.2085,14.118,SM,117,14,237,14,106,130,237,275
3023,52.5181,7.3081,SM,109,7,254,7,104,114,254,270
3028,51.7855,8.8388,SM,115,8,255,8,112,124,255,280
3126,52.1029,11.5827,SM,115,13,253,13,104,126,253,291
3196,53.3223,11.9319,SM,113,8,252,8,106,129,252,283
3287,49.7176,9.0997,SM,116,6,266,6,106,125,266,281
3302,51.0418,11.0062,SM,107,13,236,12,99,113,236,277
3314,52.1458,11.9563,SM,116,14,212,14,107,132,212,276
3347,51.7384,9.7899,SM,120,5,266,5,111,125,266,272
3552,52.9037,12.8072,SM,118,10,251,10,113,124,251,270
3637,51.5158,10.7739,SM,114,4,258,3,110,118,258,259
3660,50.3601,6.8697,SM,123,9,264,9,114,139,264,305
3684,51.2873,11.0183,SM,111,6,240,6,105,118,240,267
3750,48.0579,9.9479,SM,115,3,259,3,111,118,259,280
3761,49.207,9.5175,SM,112,6,253,6,108,118,253,281
3811,51.296,13.0928,SM,110,9,227,9,102,122,227,291
4372,50.8063,10.2294,SM,119,9,254,10,115,124,254,273
4466,54.5275,9.5487,SM,111,15,237,15,103,123,237,289
4642,52.8911,11.7297,SM,106,9,245,9,100,115,245,274
4887,48.6657,9.8646,SM,118,14,249,14,111,128,249,291
4933,48.7091,9.2147,SM,113,16,230,16,102,123,230,279
5100,49.7479,6.6582,SM,124,3,253,3,120,130,253,268
5142,53.7444,14.0697,SM,116,4,263,4,110,119,263,268
5397,49.6663,12.1845,SM,123,3,268,3,117,128,268,275
5404,48.4025,11.6946,SM,117,8,249,8,111,122,249,277
5750,51.0314,12.1495,SM,107,8,231,8,98,115,231,263
5856,48.5451,13.3531,SM,111,6,253,6,107,118,253,273
7504,54.3167,10.05,SM,118,9,253,8,108,133,253,288
7532,54.4,8.7667,SM,111,11,256,11,103,124,256,295
7539,53.95,10.6833,SM,110,5,260,5,105,117,260,291
7559,54.75,9.9,SM,119,5,259,5,112,129,259,283
7564,54.7167,9.95,SM,118,16,252,16,99,145,252,291
7566,54.75,9.5167,SM,113,16,251,16,101,127,251,284
7592,53.4833,10.6333,SM,117,14,234,15,108,125,234,287
7601,53.6167,10.7,SM,110,14,246,14,101,124,246,291
7605,53.75,10.6167,SM,119,3,261,3,117,122,261,270
7608,53.5,10.4833,SM,117,15,251,15,112,128,251,290
7616,54.6167,8.9667,SM,110,16,255,16,99,117,255,280
7623,54.6667,9.1333,SM,115,15,251,15,111,121,251,285
7624,54.5167,8.65,SM,117,5,261,5,101,125,261,285
7635,54.25,9.1833,SM,113,6,247,6,109,120,247,275
7642,54.2333,11.0833,SM,115,11,247,11,110,121,247,287
7646,54.25,10.8333,SM,124,14,260,14,109,136,260,289
7650,54.1,10.8167,SM,115,16,255,16,107,128,255,292
7651,54.3,10.9,SM,133,4,279,4,122,146,279,285
7655,54.1833,10.75,SM,128,4,271,4,118,144,271,279
7662,53.7333,9.7833,SM,115,6,256,6,106,120,256,286
7676,54.1167,10.4833,SM,114,13,242,13,104,123,242,289
7682,54.3167,10.5,SM,113,13,256,13,106,121,256,290
7697,54.1167,10.1667,SM,115,16,252,16,109,129,252,284
7700,54.1667,10.05,SM,109,9,257,9,100,116,257,281
7721,54.1167,9.4333,SM,112,16,245,16,106,121,245,286
7730,54.6167,9.8333,SM,110,13,255,13,105,122,255,293
7736,54.55,9.4,SM,104,5,269,5,89,119,269,287
7748,54.0667,10.2167,SM,106,12,235,12,95,115,235,288
7759,53.8167,10.15,SM,115,6,237,7,110,127,237,277
7761,54.0167,10.1667,SM,114,10,241,10,92,126,241,293
7770,53.9333,10.2,SM,112,14,237,14,101,124,237,292
7772,53.9,9.7833,SM,114,13,236,13,111,120,236,284
7786,53.7333,10.2667,SM,112,16,238,16,106,125,238,283
7795,53.8333,10.4833,SM,117,8,251,8,112,127,251,277
7798,53.8667,10.3333,SM,113,15,255,15,105,123,255,299
7799,53.6167,10.4167,SM,113,16,246,16,107,123,246,284
7803,53.9,9.1,SM,113,6,262,6,105,118,262,296
7807,54.15,9.0667,SM,114,12,257,12,103,124,257,283
7812,53.9833,9.1167,SM,108,16,242,16,105,114,242,281
7815,53.9667,9.0833,SM,120,7,258,7,110,136,258,292
7824,54.7333,8.4333,SM,107,11,253,12,101,122,253,280
7844,53.6,10.1833,SM,107,8,240,8,101,119,240,277
7857,52.6,8.8333,SM,113,11,253,11,105,122,253,279
7862,52.8,8.8333,SM,114,4,271,5,102,122,271,283
7865,52.5667,8.5667,SM,114,6,263,6,106,123,263,287
7868,52.7833,9.1333,SM,115,10,264,10,106,123,264,289
7872,52.9,8.5833,SM,114,10,244,10,106,121,244,279
7877,52.8667,8.5,SM,113,4,265,4,109,118,265,291
7881,52.85,9.1833,SM,118,15,241,15,108,129,241,287
7883,52.1667,9.25,SM,120,6,244,5,108,128,244,292
7890,52.2,9.2,SM,126,7,248,7,107,145,248,286
7897,52.0667,9.2667,SM,119,5,265,5,112,130,265,287
7910,52.3,9.5,SM,124,12,261,12,114,142,261,301
