Stations_id,avg.doy.x,earliest.doy.x,latest.doy.x,avg.doy.y,earliest.doy.y,latest.doy.y,crop
1691,158,134,169,215,200,240,ALF
2483,177,154,190,222,213,230,ALF
2561,156,146,166,220,208,235,ALF
4466,147,137,162,200,179,210,ALF
5404,150,150,150,204,204,204,ALF
5440,158,146,163,216,209,220,ALF
5705,173,173,173,219,219,219,ALF
7536,171,163,179,240,222,249,ALF
7537,157,157,157,251,251,251,ALF
7540,155,150,160,248,246,251,ALF
7624,152,145,161,207,182,227,ALF
7650,159,150,166,213,203,221,ALF
7669,183,183,183,195,195,195,ALF
7716,176,176,176,209,196,229,ALF
7721,164,142,181,218,191,233,ALF
7769,165,160,170,223,223,223,ALF
7821,138,138,138,224,172,276,ALF
7830,165,162,167,244,241,247,ALF
7894,153,140,177,215,210,219,ALF
7952,162,154,173,210,197,242,ALF
7972,155,149,164,213,206,232,ALF
7973,156,147,165,241,241,241,ALF
7974,164,164,164,240,240,240,ALF
7983,149,145,152,225,225,225,ALF
7995,169,166,174,219,210,221,ALF
8009,149,129,170,224,195,238,ALF
8010,146,138,152,223,223,223,ALF
8020,153,132,176,210,210,210,ALF
8028,173,158,188,226,225,229,ALF
8036,167,165,169,229,227,231,ALF
8037,166,152,180,210,210,210,ALF
8054,154,150,158,208,208,208,ALF
8056,147,140,156,210,194,236,ALF
8132,158,142,177,216,207,225,ALF
8137,142,132,150,200,180,220,ALF
8138,138,128,145,198,198,198,ALF
8238,163,158,167,221,218,229,ALF
8363,150,147,152,222,222,222,ALF
8388,163,146,171,209,194,216,ALF
8452,150,141,163,217,217,217,ALF
8459,166,158,169,203,164,214,ALF
8522,180,165,189,228,166,254,ALF
8539,146,146,146,176,167,187,ALF
8617,174,160,184,262,199,290,ALF
8621,158,151,165,207,206,208,ALF
8647,147,137,158,216,192,229,ALF
8666,144,144,144,214,214,214,ALF
8698,153,153,153,210,210,210,ALF
8754,159,147,167,212,200,224,ALF
8806,167,145,184,209,187,240,ALF
8815,162,151,179,219,210,240,ALF
8820,150,150,150,200,200,200,ALF
8824,170,165,175,212,210,220,ALF
8833,161,139,181,236,232,238,ALF
8842,170,142,189,236,233,240,ALF
8932,159,158,160,225,225,225,ALF
8951,152,138,160,221,215,230,ALF
8985,174,156,189,214,204,228,ALF
9015,157,138,178,213,200,229,ALF
9031,162,162,162,233,233,233,ALF
9067,155,155,155,223,223,223,ALF
9083,159,152,169,215,189,240,ALF
9100,151,141,160,200,199,201,ALF
9117,164,146,173,217,208,237,ALF
9155,138,137,139,192,182,207,ALF
9166,165,157,170,220,207,228,ALF
9195,146,146,146,201,201,201,ALF
9198,143,139,145,205,190,227,ALF
9203,155,139,170,234,223,246,ALF
9253,164,152,177,231,225,237,ALF
9260,159,140,171,244,244,244,ALF
9269,173,159,184,222,194,244,ALF
9274,151,151,151,232,232,233,ALF
9278,162,152,180,209,203,220,ALF
9293,164,161,167,245,245,245,ALF
9303,159,142,180,228,228,228,ALF
9315,174,158,187,232,189,252,ALF
9334,157,143,181,206,192,216,ALF
9363,158,155,160,203,192,214,ALF
9401,146,137,161,200,183,209,ALF
9405,152,143,161,210,204,215,ALF
9414,140,131,150,215,215,215,ALF
9434,154,144,165,222,215,232,ALF
9436,158,146,179,211,194,230,ALF
9439,157,141,178,228,200,255,ALF
9466,150,138,163,213,204,222,ALF
9470,162,162,162,226,226,226,ALF
9477,156,144,166,220,200,239,ALF
9497,160,160,161,225,225,225,ALF
9500,145,137,159,226,217,240,ALF
9534,148,136,160,208,202,218,ALF
9536,169,144,183,208,202,223,ALF
9542,153,139,165,214,202,229,ALF
9553,162,150,184,225,212,240,ALF
9581,164,155,177,190,182,194,ALF
9582,163,163,163,205,205,205,ALF
9595,149,136,155,195,187,205,ALF
9601,167,149,181,229,218,239,ALF
9604,171,171,171,228,228,228,ALF
9610,160,152,165,242,241,244,ALF
9621,156,138,177,218,183,246,ALF
9632,147,123,178,208,188,225,ALF
9643,165,155,178,218,207,240,ALF
9646,152,146,162,214,200,234,ALF
9660,150,145,159,209,198,220,ALF
9667,164,152,178,227,223,231,ALF
9668,149,138,154,199,194,208,ALF
9686,187,187,187,251,251,251,ALF
9690,147,135,163,196,181,213,ALF
9715,145,145,145,201,201,201,ALF
9717,171,160,177,224,205,233,ALF
9732,158,140,178,206,187,232,ALF
9735,163,163,163,224,224,224,ALF
9766,155,145,164,204,201,208,ALF
9787,164,164,164,236,236,236,ALF
9793,162,144,184,231,228,234,ALF
9800,165,150,183,222,212,236,ALF
9833,165,138,185,220,192,241,ALF
9835,190,190,190,192,190,195,ALF
9851,166,166,166,228,226,231,ALF
9862,152,126,178,216,209,222,ALF
9882,165,154,175,220,220,220,ALF
9899,165,160,168,221,219,225,ALF
9913,186,185,186,230,221,241,ALF
9919,170,161,180,204,202,205,ALF
9920,136,136,136,216,216,216,ALF
9924,140,140,140,194,194,194,ALF
9928,171,150,182,222,200,230,ALF
9957,184,184,184,226,223,230,ALF
9968,175,165,185,217,210,230,ALF
9970,181,181,181,233,233,233,ALF
9975,162,160,164,213,213,213,ALF
9986,173,158,186,225,187,242,ALF
9993,155,131,179,218,200,244,ALF
10001,163,150,169,229,215,238,ALF
10018,150,140,159,204,204,204,ALF
10035,158,140,179,220,210,228,ALF
10068,156,149,164,206,204,208,ALF
10074,147,132,160,206,183,226,ALF
10076,148,138,168,221,201,242,ALF
10091,166,158,176,225,201,244,ALF
10093,146,140,157,194,188,198,ALF
10104,154,140,170,217,200,240,ALF
10140,164,150,188,216,216,216,ALF
10149,159,144,172,205,188,227,ALF
10151,162,159,165,204,204,205,ALF
10153,164,153,180,209,199,225,ALF
10170,181,170,187,220,189,236,ALF
10172,164,148,181,226,203,250,ALF
10174,152,139,175,205,180,222,ALF
10176,160,135,180,215,202,233,ALF
10181,152,136,177,207,194,229,ALF
10182,153,140,166,202,174,215,ALF
10184,159,130,176,189,165,222,ALF
10185,154,148,161,206,200,211,ALF
10187,151,140,180,207,180,238,ALF
10190,144,133,164,187,186,188,ALF
10200,154,142,163,194,193,196,ALF
10212,156,139,172,251,251,251,ALF
10214,157,151,163,209,209,209,ALF
10220,150,136,164,202,188,219,ALF
10226,149,134,163,215,206,220,ALF
10230,167,167,167,220,220,220,ALF
10234,155,151,159,202,202,202,ALF
10236,168,147,175,238,234,246,ALF
10238,158,140,178,225,198,244,ALF
10242,153,144,164,204,183,214,ALF
10243,155,142,165,223,192,243,ALF
10244,169,169,169,237,237,237,ALF
10247,168,166,170,246,231,260,ALF
10267,160,154,165,222,219,225,ALF
10269,164,159,172,219,198,246,ALF
10270,145,140,149,202,192,215,ALF
10272,166,149,182,199,198,200,ALF
10279,158,145,180,234,234,234,ALF
10291,129,129,129,198,192,209,ALF
10295,163,154,168,230,229,231,ALF
10296,160,148,182,231,218,244,ALF
10297,164,164,164,209,209,209,ALF
10299,157,140,184,232,207,245,ALF
10303,152,129,182,226,224,229,ALF
10308,159,142,177,207,193,227,ALF
10311,161,153,172,207,195,228,ALF
10313,148,130,165,219,200,254,ALF
10322,159,145,179,212,201,222,ALF
10323,146,128,157,202,176,225,ALF
10326,144,130,158,203,178,225,ALF
10330,153,153,153,219,219,219,ALF
10331,154,140,164,211,192,225,ALF
10341,154,144,165,208,198,217,ALF
10349,162,150,180,213,194,227,ALF
10353,156,142,175,200,190,217,ALF
10358,162,146,184,206,196,225,ALF
10366,178,178,178,195,191,202,ALF
10373,149,134,162,202,192,209,ALF
10382,130,128,131,195,179,208,ALF
10385,162,151,181,209,189,229,ALF
10387,160,142,188,213,210,218,ALF
10388,176,166,187,219,200,241,ALF
10389,158,140,175,212,201,225,ALF
10394,150,149,151,208,194,217,ALF
10396,165,151,184,227,216,240,ALF
10403,162,154,166,214,202,223,ALF
10405,160,150,179,215,215,215,ALF
10406,151,141,165,227,212,240,ALF
10411,162,139,182,208,201,216,ALF
10412,148,136,162,202,178,249,ALF
10416,172,161,183,228,227,228,ALF
10418,138,130,142,192,181,200,ALF
10419,149,134,167,207,196,228,ALF
10421,160,137,178,211,195,225,ALF
10423,157,139,178,210,192,227,ALF
10424,150,141,160,209,184,227,ALF
10426,159,148,173,207,198,224,ALF
10427,152,129,177,216,185,236,ALF
10430,155,131,178,213,195,224,ALF
10431,161,145,181,216,203,227,ALF
10437,152,137,173,204,185,214,ALF
10439,151,138,165,207,195,220,ALF
10441,165,155,178,211,198,230,ALF
10442,163,150,180,216,199,230,ALF
10444,167,165,171,220,196,230,ALF
10445,154,136,165,212,197,230,ALF
10449,165,145,177,219,203,228,ALF
10450,159,142,181,221,205,245,ALF
10451,161,148,183,214,199,227,ALF
10453,160,145,178,214,193,230,ALF
10463,165,165,165,193,193,193,ALF
10465,156,140,178,202,185,222,ALF
10486,148,148,148,195,195,195,ALF
10487,165,126,184,224,208,240,ALF
10494,161,160,162,230,230,230,ALF
10495,145,134,152,199,187,208,ALF
10496,151,134,177,210,188,225,ALF
10511,145,122,160,205,188,214,ALF
10512,151,128,163,206,186,220,ALF
10525,156,141,185,210,196,230,ALF
10526,143,125,166,201,196,205,ALF
10532,160,138,181,221,207,232,ALF
