Stations_id,avg.doy.x,earliest.doy.x,latest.doy.x,avg.doy.y,earliest.doy.y,latest.doy.y,crop
10536,149,142,162,199,195,204,ALF
10537,143,126,160,206,178,236,ALF
10539,172,165,182,217,200,239,ALF
10540,175,170,179,234,231,237,ALF
10542,155,143,168,215,205,222,ALF
10543,176,166,187,230,230,230,ALF
10544,155,140,178,219,212,227,ALF
10549,167,164,170,209,200,218,ALF
10554,150,131,173,235,211,250,ALF
10556,124,124,124,220,220,220,ALF
10559,152,129,178,209,193,231,ALF
10560,147,134,160,210,190,244,ALF
10561,152,139,177,194,188,200,ALF
10563,153,135,181,200,177,215,ALF
10564,160,140,174,233,214,255,ALF
10565,154,140,170,217,196,240,ALF
10568,145,131,157,200,196,211,ALF
10572,162,148,181,237,233,243,ALF
10577,144,136,153,200,194,208,ALF
10578,163,146,178,232,226,241,ALF
10580,152,129,178,208,198,218,ALF
10581,178,178,178,230,230,230,ALF
10582,160,159,160,206,204,207,ALF
10584,157,138,174,208,184,231,ALF
10587,164,149,180,207,188,241,ALF
10592,150,138,174,206,187,219,ALF
10599,160,155,164,211,204,218,ALF
10600,164,149,183,227,213,234,ALF
10612,154,135,179,219,205,231,ALF
10614,150,138,174,217,200,225,ALF
10616,157,140,181,214,201,226,ALF
10618,161,153,168,198,193,204,ALF
10619,149,125,168,205,196,210,ALF
10621,168,162,178,220,202,239,ALF
10623,154,143,166,219,213,225,ALF
10628,160,160,160,214,214,214,ALF
10629,148,134,179,204,194,229,ALF
10631,146,135,153,217,195,240,ALF
10632,168,145,190,222,206,244,ALF
10633,163,151,180,211,202,219,ALF
10635,160,146,176,207,200,217,ALF
10637,175,175,175,231,231,231,ALF
10638,169,154,178,225,193,238,ALF
10641,161,152,177,210,196,225,ALF
10643,161,135,178,224,205,248,ALF
10647,160,149,169,228,222,235,ALF
10651,152,140,165,205,185,220,ALF
10653,138,126,149,196,196,196,ALF
10657,158,154,161,210,208,211,ALF
10658,166,147,201,212,201,220,ALF
10659,165,145,178,210,198,224,ALF
10660,156,144,164,208,206,211,ALF
10663,163,144,179,213,203,225,ALF
10664,154,145,160,208,187,221,ALF
10667,154,132,167,230,227,232,ALF
10672,147,135,160,219,214,224,ALF
10679,161,155,169,213,200,232,ALF
10683,146,128,166,197,197,197,ALF
10689,156,136,178,215,201,223,ALF
10705,149,140,158,226,220,233,ALF
10706,152,141,168,198,192,209,ALF
10708,159,145,185,219,196,230,ALF
10712,159,140,177,216,200,229,ALF
10728,147,136,156,199,186,215,ALF
10729,150,136,178,204,195,223,ALF
10731,155,151,163,212,198,226,ALF
10742,163,163,163,232,232,232,ALF
10756,167,167,167,230,230,230,ALF
10775,160,148,177,215,208,226,ALF
10786,132,123,142,189,189,189,ALF
10796,173,168,182,232,220,242,ALF
10797,163,163,163,205,205,205,ALF
10802,152,131,180,202,190,212,ALF
10805,161,149,175,214,199,223,ALF
10806,155,143,170,217,200,229,ALF
10823,160,160,160,228,228,228,ALF
10826,144,141,148,205,202,207,ALF
10836,155,145,178,209,194,235,ALF
10860,171,162,179,222,216,230,ALF
10865,138,138,138,200,200,200,ALF
10866,167,167,167,226,226,226,ALF
10869,160,148,171,212,191,239,ALF
10870,161,154,174,212,200,235,ALF
10876,172,169,176,232,230,235,ALF
10885,168,148,184,222,208,240,ALF
10903,177,169,182,228,219,244,ALF
10907,163,156,170,210,201,218,ALF
10909,160,148,178,201,192,209,ALF
10914,146,146,146,210,196,217,ALF
10918,166,152,180,224,214,238,ALF
10919,178,178,178,234,234,234,ALF
10920,168,143,184,203,185,233,ALF
10925,170,165,180,216,206,230,ALF
10935,163,155,175,204,196,214,ALF
10937,173,171,175,211,188,229,ALF
10942,160,152,165,203,191,233,ALF
10952,156,150,163,215,204,230,ALF
10968,160,144,180,210,196,233,ALF
10969,164,155,170,205,190,230,ALF
10970,154,140,164,193,183,203,ALF
11002,159,146,184,218,207,233,ALF
11003,164,147,176,205,197,219,ALF
11014,157,139,170,211,201,223,ALF
11028,174,174,174,232,232,232,ALF
11031,144,144,145,195,195,195,ALF
11032,161,143,179,209,198,230,ALF
11033,154,149,159,203,189,208,ALF
11081,150,138,163,204,198,210,ALF
11095,136,136,136,192,192,192,ALF
11096,148,131,161,193,185,198,ALF
11100,156,150,162,175,175,175,ALF
11101,160,146,178,214,201,232,ALF
11105,151,140,162,197,197,197,ALF
11107,179,179,179,212,207,216,ALF
11163,139,130,146,227,210,240,ALF
11164,140,130,150,191,185,195,ALF
11177,146,130,160,217,198,240,ALF
11179,171,156,185,210,193,225,ALF
11191,171,158,181,238,238,238,ALF
11197,148,136,164,205,188,223,ALF
11199,168,164,173,226,208,243,ALF
11204,147,131,163,206,186,223,ALF
11207,159,145,170,214,178,235,ALF
11209,178,178,178,218,218,219,ALF
11210,172,162,182,230,230,230,ALF
11220,160,145,174,200,191,210,ALF
11232,157,151,165,206,194,216,ALF
11257,156,123,184,193,178,208,ALF
11262,165,165,165,196,196,196,ALF
11263,161,146,180,227,212,243,ALF
11268,141,135,149,193,182,202,ALF
11270,168,160,180,210,203,216,ALF
11294,154,145,163,163,163,163,ALF
11295,157,139,180,206,192,233,ALF
11300,137,134,142,207,197,218,ALF
11311,145,145,145,202,185,230,ALF
11320,152,136,166,204,200,208,ALF
11324,153,151,154,234,218,250,ALF
11325,165,165,165,202,202,202,ALF
11326,158,145,178,204,196,220,ALF
11328,155,145,180,198,185,214,ALF
11333,158,140,176,175,175,175,ALF
11343,147,147,147,222,206,241,ALF
11365,142,136,149,191,184,200,ALF
11377,152,145,169,257,257,257,ALF
11378,156,140,176,211,202,226,ALF
11379,149,149,149,210,210,210,ALF
11384,151,134,164,210,192,246,ALF
11387,151,138,164,210,187,243,ALF
11388,178,178,178,243,232,259,ALF
11389,155,155,155,212,212,212,ALF
11395,151,151,151,206,206,206,ALF
11396,176,174,179,223,223,223,ALF
11398,154,146,163,213,201,237,ALF
11405,158,140,178,222,211,237,ALF
11407,142,140,145,201,187,210,ALF
11411,163,141,189,233,218,258,ALF
11415,150,142,160,205,204,208,ALF
11416,158,141,180,210,200,220,ALF
11426,146,131,163,193,191,195,ALF
11433,166,148,179,216,207,225,ALF
11440,177,174,180,226,213,240,ALF
11448,167,156,178,221,202,233,ALF
11449,158,149,169,218,210,226,ALF
11452,161,145,180,223,212,243,ALF
11456,154,136,182,211,201,222,ALF
11487,160,150,167,224,200,251,ALF
11494,153,145,165,212,190,233,ALF
11497,164,150,185,218,192,236,ALF
11502,162,145,179,221,209,235,ALF
11503,165,148,181,220,216,223,ALF
11508,156,148,180,204,190,221,ALF
11509,159,148,180,205,192,222,ALF
11510,182,168,189,224,190,250,ALF
11515,170,148,183,186,180,193,ALF
11517,159,141,183,216,193,238,ALF
11518,171,163,181,227,209,252,ALF
11519,174,166,178,223,213,240,ALF
11520,164,143,178,210,192,235,ALF
11528,147,145,153,200,196,203,ALF
11533,177,169,188,222,213,234,ALF
11550,158,146,179,215,201,227,ALF
11552,145,132,160,197,182,217,ALF
11555,161,161,161,222,213,230,ALF
11563,156,146,166,207,192,214,ALF
11564,169,159,182,216,198,235,ALF
11570,162,152,178,202,193,212,ALF
11571,160,157,162,213,213,213,ALF
11590,163,151,175,192,188,195,ALF
11602,154,154,154,236,236,236,ALF
11606,161,140,182,214,200,226,ALF
11609,171,168,175,219,219,219,ALF
11622,148,138,160,183,178,192,ALF
11623,151,138,164,210,205,222,ALF
11634,147,144,150,205,190,220,ALF
11635,170,162,181,221,203,229,ALF
11645,150,146,156,208,195,216,ALF
11648,167,151,181,214,195,224,ALF
11650,146,146,146,185,185,185,ALF
11652,150,133,175,219,211,228,ALF
11655,158,140,182,199,171,226,ALF
11656,157,138,177,205,190,234,ALF
11663,158,150,167,211,206,218,ALF
11670,146,144,149,222,197,240,ALF
11685,156,143,177,208,198,228,ALF
11689,151,145,160,200,198,202,ALF
11691,157,140,180,210,192,231,ALF
11693,155,145,164,204,190,212,ALF
11694,159,146,178,226,217,240,ALF
11696,168,144,182,231,208,238,ALF
11702,166,164,167,220,212,228,ALF
11703,160,141,174,216,191,230,ALF
11706,153,139,178,213,202,240,ALF
11709,151,138,164,206,192,227,ALF
11711,165,155,180,211,196,230,ALF
11719,154,143,183,214,203,224,ALF
11720,153,141,163,207,194,219,ALF
11721,153,142,165,209,194,230,ALF
11722,160,152,163,211,202,226,ALF
11725,162,144,173,215,200,233,ALF
11728,155,139,167,207,195,215,ALF
11738,160,150,181,246,234,257,ALF
11743,168,152,185,226,226,226,ALF
11746,172,152,187,226,226,226,ALF
11747,169,158,187,216,201,231,ALF
11750,152,135,184,205,193,229,ALF
11760,168,151,183,222,209,235,ALF
11767,156,139,167,214,207,221,ALF
11768,152,138,165,207,200,220,ALF
11769,164,132,176,226,209,236,ALF
11785,161,146,187,206,196,221,ALF
11792,159,147,178,221,212,230,ALF
11793,151,151,151,197,191,203,ALF
11794,147,135,154,202,189,228,ALF
11796,155,142,168,238,230,242,ALF
11798,157,149,172,216,203,225,ALF
11803,151,132,178,204,186,232,ALF
11804,150,138,163,217,201,234,ALF
11806,156,141,178,208,205,211,ALF
11809,157,145,173,201,195,211,ALF
11813,157,140,180,212,208,220,ALF
11823,158,143,181,215,191,235,ALF
11825,163,144,179,235,228,238,ALF
11826,152,138,160,220,193,255,ALF
11827,148,148,148,227,227,227,ALF
11834,153,143,176,205,193,223,ALF
11835,157,148,166,216,207,226,ALF
11836,160,146,179,215,205,229,ALF
11837,162,150,175,211,197,233,ALF
11841,156,146,165,225,211,237,ALF
11845,162,158,166,211,183,231,ALF
11848,152,144,162,195,188,202,ALF
11849,149,139,160,200,189,210,ALF
11853,153,136,180,211,197,228,ALF
11854,160,142,180,211,191,234,ALF
11856,170,165,174,233,225,241,ALF
11857,156,141,177,216,194,254,ALF
11858,154,144,175,200,181,221,ALF
11859,152,145,166,204,182,222,ALF
11860,162,142,180,210,197,225,ALF
11868,154,150,159,224,221,226,ALF
11872,156,143,178,213,200,226,ALF
11873,159,140,177,213,196,225,ALF
11875,171,166,182,227,218,234,ALF
11878,180,180,180,214,214,214,ALF
11883,168,160,180,225,225,225,ALF
11890,150,138,176,209,196,219,ALF
11891,150,143,161,201,189,215,ALF
11897,155,141,166,210,199,219,ALF
11898,148,137,166,200,187,212,ALF
11904,159,144,178,205,190,219,ALF
11906,155,140,178,206,191,219,ALF
11907,155,143,178,210,199,233,ALF
11908,157,144,178,212,202,229,ALF
11910,144,138,151,200,198,203,ALF
11911,156,146,171,210,203,218,ALF
11915,153,127,171,210,201,223,ALF
11916,162,160,164,217,205,233,ALF
11921,139,139,139,168,168,168,ALF
11923,164,150,183,210,200,231,ALF
11927,151,140,154,215,212,220,ALF
11930,158,152,164,211,211,211,ALF
11937,159,159,159,219,219,219,ALF
11942,170,170,170,228,228,228,ALF
11944,153,153,153,214,214,214,ALF
11950,157,146,185,211,197,230,ALF
11963,146,129,179,199,176,229,ALF
11965,159,150,167,207,184,234,ALF
11966,156,148,165,204,204,204,ALF
12005,170,150,190,233,233,233,ALF
12030,139,139,139,205,205,205,ALF
12036,178,171,184,208,194,226,ALF
12054,147,137,162,201,177,229,ALF
12056,130,123,138,187,175,194,ALF
12062,172,163,180,211,211,211,ALF
12065,147,142,155,201,186,221,ALF
12067,140,131,149,193,182,204,ALF
12073,166,153,184,212,203,226,ALF
12076,158,150,170,190,176,205,ALF
12085,130,128,132,192,191,193,ALF
12088,188,180,200,236,230,250,ALF
12090,172,167,178,217,217,217,ALF
12099,145,140,154,194,180,207,ALF
12102,151,142,176,203,198,213,ALF
12103,162,139,180,199,190,208,ALF
12111,152,147,161,208,205,210,ALF
12112,163,151,179,224,206,247,ALF
12113,135,135,135,193,193,193,ALF
12114,159,142,172,218,215,223,ALF
12115,165,145,186,227,209,254,ALF
12117,159,135,188,219,206,226,ALF
15094,134,134,134,186,186,186,ALF
15545,154,141,178,204,195,214,ALF
