climate.station,lat,long,crop,avg.sowing.doy,X..values.sowing,avg.harvest.doy,X..values.harvest,earliest.sowing.doy,latest.sowing.doy,earliest.harvest.doy,latest.harvest.doy
13247,52.8,11.3333,WRa,235,16,204,16,229,242,197,231
140,52.6861,11.4272,WRa,235,16,204,16,229,242,197,231
13243,52.85,11.3833,WRa,235,16,204,16,229,242,197,231
13152,52.6333,11.1667,WRa,235,16,204,16,229,242,197,231
13090,52.6667,11.3833,WRa,235,16,204,16,229,242,197,231
13207,52.7667,11.5667,WRa,235,16,204,16,229,242,197,231
13251,52.75,11.4667,WRa,235,16,204,16,229,242,197,231
13087,52.6,11.5333,WRa,235,16,204,16,229,242,197,231
13159,52.6833,11.0333,WRa,235,16,204,16,229,242,197,231
13279,52.6167,11.8667,WRa,235,16,204,16,229,242,197,231
13089,52.6167,11.3,WRa,235,16,204,16,229,242,197,231
13278,52.6167,11.7333,WRa,235,16,204,16,229,242,197,231
13158,52.6333,11.0833,WRa,235,16,204,16,229,242,197,231
12240,52.9667,13.7667,WRa,235,3,206,3,234,236,203,208
12155,53.0833,14.05,WRa,235,3,206,3,234,236,203,208
164,53.0316,13.9908,WRa,235,3,206,3,234,236,203,208
12235,52.9167,13.7167,WRa,235,3,206,3,234,236,203,208
12662,54.6333,13.35,WRa,232,16,212,16,226,241,201,227
12661,54.6333,13.3667,WRa,232,16,212,16,226,241,201,227
15501,54.4401,13.1785,WRa,232,16,212,16,226,241,201,227
183,54.6792,13.4343,WRa,232,16,212,16,226,241,201,227
12666,54.5903,13.1056,WRa,232,16,212,16,226,241,201,227
198,51.3745,11.292,WRa,240,9,206,15,233,250,184,223
13257,51.4833,11.45,WRa,240,9,206,15,233,250,184,223
13081,51.5167,11.55,WRa,240,9,206,15,233,250,184,223
13229,51.3167,11.55,WRa,240,9,206,15,233,250,184,223
13079,51.4833,11.5333,WRa,240,9,206,15,233,250,184,223
13260,51.45,11.25,WRa,240,9,206,15,233,250,184,223
13365,51.35,11.1833,WRa,240,9,206,15,233,250,184,223
13369,51.35,11.3667,WRa,240,9,206,15,233,250,184,223
13370,51.3,11.2167,WRa,240,9,206,15,233,250,184,223
13364,51.3833,11.3167,WRa,240,9,206,15,233,250,184,223
15933,51.367,11.3,WRa,240,9,206,15,233,250,184,223
13192,51.2,11.5833,WRa,240,9,206,15,233,250,184,223
13078,51.5667,11.4833,WRa,240,9,206,15,233,250,184,223
13196,51.2833,11.4667,WRa,240,9,206,15,233,250,184,223
13255,51.5,11.4,WRa,240,9,206,15,233,250,184,223
13264,51.4833,11.3167,WRa,240,9,206,15,233,250,184,223
13252,51.4,11.3833,WRa,240,9,206,15,233,250,184,223
4079,51.1765,11.4183,WRa,240,9,206,15,233,250,184,223
13262,51.5,11.3667,WRa,240,9,206,15,233,250,184,223
13266,51.4333,11.15,WRa,240,9,206,15,233,250,184,223
15932,51.367,11.3,WRa,240,9,206,15,233,250,184,223
13372,51.3167,11.3833,WRa,240,9,206,15,233,250,184,223
13195,51.2167,11.4167,WRa,240,9,206,15,233,250,184,223
13227,51.4,11.55,WRa,240,9,206,15,233,250,184,223
12592,53.35,10.8,WRa,235,16,205,16,228,246,197,217
12575,53.3833,10.7333,WRa,235,16,205,16,228,246,197,217
12593,53.3667,10.85,WRa,235,16,205,16,228,246,197,217
12576,53.3833,10.7167,WRa,235,16,205,16,228,246,197,217
591,53.3911,10.6878,WRa,235,16,205,16,228,246,197,217
7600,53.3667,10.5667,WRa,235,16,205,16,228,246,197,217
